latitude,longitude,k
26.45,88.02,192.17291
26.45,88.03,192.04419
26.45,88.04,191.28616
26.45,88.05,186.41754
26.45,88.06,203.15384
26.45,88.07000000000001,216.02437
26.45,88.08,193.00992
26.45,88.09,181.63004
26.46,86.62,119.47639
26.46,86.63,98.084045
26.46,86.64,97.55393
26.46,86.65,111.61239
26.46,86.66,108.07442
26.46,86.67,116.00694
26.46,86.68,101.96787
26.46,86.69,109.194145
26.46,86.7,110.917404
26.46,86.71000000000001,93.75666
26.46,86.72,94.46101
26.46,86.73,97.73045
26.46,86.74,103.337776
26.46,86.75,114.1898
26.46,86.76,126.701515
26.46,86.77,121.22896
26.46,86.78,110.9158
26.46,86.79,123.00164
26.46,86.8,143.16922
26.46,86.81,139.81767
26.46,86.86,150.85258
26.46,86.87,155.56886
26.46,86.88,160.79132
26.46,86.89,188.21072
26.46,87.09,132.31236
26.46,87.10000000000001,136.95923
26.46,87.11,126.66393
26.46,87.12,130.17587
26.46,87.13,127.78421
26.46,87.14,125.38203
26.46,87.15,124.652336
26.46,87.16,118.137634
26.46,87.17,114.43481
26.46,87.18,121.15357
26.46,87.19,110.62598
26.46,87.2,113.39984
26.46,87.21000000000001,121.320625
26.46,87.22,127.1613
26.46,87.23,130.01318
26.46,87.24,127.38562
26.46,87.25,121.2507
26.46,87.26,120.615204
26.46,87.29,129.68813
26.46,87.3,128.81789
26.46,87.31,140.20905
26.46,87.32000000000001,147.43361
26.46,87.33,145.13445
26.46,87.34,156.71848
26.46,87.35000000000001,152.97354
26.46,87.36,158.13893
26.46,87.37,153.36417
26.46,87.38,144.03941
26.46,87.39,138.11446
26.46,87.4,142.32425
26.46,87.41,135.6516
26.46,87.42,130.44894
26.46,87.43,141.36734
26.46,87.44,151.85059
26.46,87.45,151.25012
26.46,87.46000000000001,160.33409
26.46,87.47,195.12097
26.46,87.48,191.13033
26.46,87.49,201.41965
26.46,87.5,212.82489
26.46,87.51,204.12308
26.46,87.52,186.15915
26.46,87.53,179.04836
26.46,87.54,199.69562
26.46,87.55,204.93552
26.46,87.56,201.32607
26.46,87.57000000000001,212.5455
26.46,87.58,242.31004
26.46,87.59,186.7895
26.46,87.60000000000001,155.14694
26.46,87.61,157.4977
26.46,87.62,143.41376
26.46,87.63,142.34703
26.46,87.64,140.1021
26.46,87.65,147.55095
26.46,87.66,127.95709
26.46,87.67,130.92609
26.46,87.68,121.815994
26.46,87.69,111.065445
26.46,87.7,140.35849
26.46,87.71000000000001,119.89538
26.46,87.72,109.24263
26.46,87.73,107.688644
26.46,87.74,123.038506
26.46,87.75,116.644356
26.46,87.76,120.18033
26.46,87.77,123.57055
26.46,87.78,133.52562
26.46,87.79,143.12457
26.46,87.8,166.66138
26.46,87.81,182.58511
26.46,87.82000000000001,226.06134
26.46,87.83,249.41516
26.46,87.84,288.197
26.46,87.85000000000001,347.68405
26.46,87.86,362.5339
26.46,87.9,382.6197
26.46,87.91,361.3284
26.46,87.92,327.9723
26.46,87.93,290.3479
26.46,87.94,272.1113
26.46,87.95,297.9683
26.46,87.99,272.70758
26.46,88.0,275.93942
