latitude,longitude,sand
26.41,87.37,25.776108
26.41,87.38,25.256384
26.41,87.54,42.930332
26.41,87.55,40.654182
26.41,87.56,37.749958
26.41,87.57000000000001,35.565296
26.41,87.58,34.029892
26.41,87.59,35.84092
26.41,87.60000000000001,38.020523
26.41,87.61,36.983307
26.41,87.62,38.38245
26.41,87.63,35.35078
26.41,87.64,36.867493
26.41,87.65,40.300674
26.41,87.66,36.737637
26.41,87.67,37.99329
26.41,87.72,28.201515
26.41,87.73,26.751778
26.41,87.74,30.169407
26.41,87.75,29.33613
26.41,87.76,32.821644
26.41,87.92,34.40972
26.41,87.93,36.68481
26.41,87.94,35.85795
26.41,87.95,35.55025
26.41,87.96000000000001,36.415615
26.41,87.97,35.642487
26.41,87.98,34.845005
26.41,87.99,37.16385
26.41,88.0,36.36769
26.41,88.01,36.15171
26.41,88.02,36.504917
26.41,88.03,36.96809
26.41,88.04,37.713573
26.41,88.05,38.62212
26.41,88.06,39.428974
26.41,88.07000000000001,41.76189
26.42,86.72,45.34707
26.42,86.73,44.690952
26.42,86.74,44.379066
26.42,87.12,42.967716
26.42,87.13,42.010212
26.42,87.14,39.43939
26.42,87.15,39.302624
26.42,87.16,38.447517
26.42,87.17,36.12492
26.42,87.18,35.509766
26.42,87.19,31.106434
26.42,87.2,29.173182
26.42,87.21000000000001,26.620733
26.42,87.22,25.332882
26.42,87.23,24.339092
26.42,87.24,23.151957
26.42,87.25,21.271566
26.42,87.26,22.993475
26.42,87.27,24.01645
26.42,87.28,21.175333
26.42,87.29,20.82731
26.42,87.3,21.51862
26.42,87.31,21.582436
26.42,87.32000000000001,24.98473
26.42,87.33,24.77268
26.42,87.34,25.018984
26.42,87.35000000000001,24.766909
26.42,87.36,24.669226
26.42,87.37,24.394228
26.42,87.38,25.041904
26.42,87.39,24.590403
26.42,87.4,25.825424
26.42,87.41,23.781244
26.42,87.42,22.547827
26.42,87.43,22.516182
26.42,87.52,51.1403
26.42,87.53,49.197704
26.42,87.54,41.39447
26.42,87.55,41.019375
26.42,87.56,38.18844
26.42,87.57000000000001,36.084095
26.42,87.58,34.82945
26.42,87.59,36.589886
26.42,87.60000000000001,38.739704
26.42,87.61,36.94677
26.42,87.62,36.12673
26.42,87.63,35.750027
26.42,87.64,38.75233
26.42,87.65,39.048122
26.42,87.66,36.16951
26.42,87.67,39.51361
26.42,87.7,25.481705
26.42,87.71000000000001,24.497467
26.42,87.72,25.70224
26.42,87.73,26.114279
26.42,87.74,29.040152
26.42,87.75,26.088682
26.42,87.76,27.749273
26.42,87.77,30.326262
26.42,87.92,34.339027
26.42,87.93,35.500465
26.42,87.94,35.851543
26.42,87.95,35.783775
26.42,87.96000000000001,35.77
26.42,87.97,35.04467
26.42,87.98,35.05888
26.42,87.99,35.17142
26.42,88.0,35.221836
26.42,88.01,35.396713
26.42,88.02,36.29737
26.42,88.03,36.81863
26.42,88.04,37.386745
26.42,88.05,38.547783
26.42,88.06,38.982155
26.42,88.07000000000001,40.654766
26.42,88.08,41.140224
26.43,86.7,45.50382
26.43,86.71000000000001,45.88615
26.43,86.72,46.503536
26.43,86.73,45.270855
26.43,86.74,45.58378
26.43,87.10000000000001,42.35144
26.43,87.11,44.65649
26.43,87.12,43.826374
26.43,87.13,41.248302
26.43,87.14,39.095287
26.43,87.15,37.4364
26.43,87.16,35.45378
26.43,87.17,35.81203
26.43,87.18,34.748302
26.43,87.19,29.58603
