latitude,longitude,p2o5
26.400000000000002,87.66,17.814825
26.400000000000002,87.73,26.894
26.400000000000002,87.75,35.117054
26.400000000000002,87.95,39.21953
26.400000000000002,87.96000000000001,45.121258
26.400000000000002,87.97,42.39422
26.400000000000002,87.98,48.315273
26.400000000000002,87.99,51.39275
26.400000000000002,88.0,46.266018
26.400000000000002,88.01,48.67265
26.400000000000002,88.02,51.07484
26.400000000000002,88.03,53.77293
26.400000000000002,88.04,57.915306
26.400000000000002,88.05,57.30388
26.400000000000002,88.06,53.90392
26.41,87.13,29.59048
26.41,87.14,34.26425
26.41,87.15,30.35232
26.41,87.16,30.171902
26.41,87.17,31.67388
26.41,87.18,31.72806
26.41,87.19,28.613068
26.41,87.2,28.517866
26.41,87.21000000000001,29.675817
26.41,87.22,28.992641
26.41,87.23,29.935087
26.41,87.24,30.912079
26.41,87.25,28.695625
26.41,87.26,31.991327
26.41,87.27,24.257809
26.41,87.28,19.443707
26.41,87.29,19.73134
26.41,87.3,19.019459
26.41,87.31,19.416197
26.41,87.32000000000001,20.468092
26.41,87.33,20.146812
26.41,87.34,19.833271
26.41,87.35000000000001,20.156517
26.41,87.36,19.616482
26.41,87.37,20.031916
26.41,87.38,20.45633
26.41,87.54,37.280487
26.41,87.55,34.272064
26.41,87.56,26.683647
26.41,87.57000000000001,24.940256
26.41,87.58,27.329702
26.41,87.59,27.365095
26.41,87.60000000000001,23.776375
26.41,87.61,21.160109
26.41,87.62,19.9059
26.41,87.63,20.677681
26.41,87.64,20.990332
26.41,87.65,19.000036
26.41,87.66,24.051525
26.41,87.67,25.354801
26.41,87.72,28.128536
26.41,87.73,23.544767
26.41,87.74,27.182978
26.41,87.75,28.895721
26.41,87.76,26.63727
26.41,87.92,36.912876
26.41,87.93,47.193565
26.41,87.94,39.56843
26.41,87.95,38.991215
26.41,87.96000000000001,43.88648
26.41,87.97,40.8477
26.41,87.98,43.17292
26.41,87.99,50.28042
26.41,88.0,47.82241
26.41,88.01,50.243877
26.41,88.02,51.51837
26.41,88.03,53.21367
26.41,88.04,52.92043
26.41,88.05,57.064632
26.41,88.06,57.808502
26.41,88.07000000000001,60.36894
26.42,86.72,57.112778
26.42,86.73,49.8454
26.42,86.74,40.599762
26.42,87.12,38.48073
26.42,87.13,41.0854
26.42,87.14,42.974686
26.42,87.15,37.167313
26.42,87.16,34.95403
26.42,87.17,33.21593
26.42,87.18,31.754206
26.42,87.19,29.627264
26.42,87.2,29.691505
26.42,87.21000000000001,29.714647
26.42,87.22,30.178175
26.42,87.23,30.735214
26.42,87.24,32.034866
26.42,87.25,28.583384
26.42,87.26,31.011087
26.42,87.27,27.054663
26.42,87.28,20.60733
26.42,87.29,20.02373
26.42,87.3,19.76952
26.42,87.31,19.893993
26.42,87.32000000000001,20.92924
26.42,87.33,20.398846
26.42,87.34,20.972998
26.42,87.35000000000001,21.098635
26.42,87.36,18.37942
26.42,87.37,20.553093
26.42,87.38,18.013222
26.42,87.39,15.575618
26.42,87.4,15.858788
26.42,87.41,12.0880165
26.42,87.42,11.962543
26.42,87.43,13.088916
26.42,87.52,57.145782
26.42,87.53,57.00355
26.42,87.54,39.194824
26.42,87.55,27.669098
26.42,87.56,24.326017
26.42,87.57000000000001,25.453451
26.42,87.58,26.618368
26.42,87.59,24.969324
26.42,87.60000000000001,20.165958
26.42,87.61,19.809052
26.42,87.62,20.499317
26.42,87.63,19.529964
26.42,87.64,20.132671
26.42,87.65,18.697031
26.42,87.66,23.89922
26.42,87.67,22.417997
26.42,87.7,18.910498
26.42,87.71000000000001,19.010454
26.42,87.72,22.057402
26.42,87.73,23.562426
26.42,87.74,26.867085
26.42,87.75,23.682833
26.42,87.76,22.753181
26.42,87.77,23.368065
26.42,87.92,37.00009
26.42,87.93,36.747395
26.42,87.94,38.01766
26.42,87.95,39.6316
26.42,87.96000000000001,43.159756
26.42,87.97,41.15023
26.42,87.98,45.593918
26.42,87.99,47.760315
26.42,88.0,48.562004
26.42,88.01,50.332165
26.42,88.02,53.079205
26.42,88.03,52.239002
26.42,88.04,52.4805
26.42,88.05,54.930775
26.42,88.06,56.54777
26.42,88.07000000000001,59.2976
26.42,88.08,58.62451
26.43,86.7,53.763927
26.43,86.71000000000001,60.723915
26.43,86.72,73.47178
26.43,86.73,53.450512
26.43,86.74,47.14421
26.43,87.10000000000001,38.214333
26.43,87.11,37.65212
26.43,87.12,37.392967
26.43,87.13,38.963985
26.43,87.14,39.881718
26.43,87.15,36.807762
26.43,87.16,35.823437
26.43,87.17,33.687714
26.43,87.18,33.050045
26.43,87.19,31.89178
26.43,87.2,31.182394
26.43,87.21000000000001,30.373556
26.43,87.22,30.347351
26.43,87.23,30.520956
26.43,87.24,31.44805
26.43,87.25,29.153877
26.43,87.26,27.794083
26.43,87.27,27.966446
26.43,87.28,23.516657
26.43,87.29,20.287693
26.43,87.3,20.283812
26.43,87.31,19.736645
26.43,87.32000000000001,20.028662
26.43,87.33,20.322649
26.43,87.34,20.582865
26.43,87.35000000000001,20.015053
26.43,87.36,18.15329
26.43,87.37,20.800426
26.43,87.38,16.10125
26.43,87.39,15.996927
26.43,87.4,15.447839
26.43,87.41,11.436923
26.43,87.42,13.297604
26.43,87.43,11.300436
26.43,87.44,13.78284
26.43,87.45,11.025012
26.43,87.46000000000001,21.909346
26.43,87.47,31.97136
26.43,87.48,29.493578
26.43,87.49,32.190716
26.43,87.5,37.718933
26.43,87.51,50.383972
26.43,87.52,57.138306
26.43,87.53,52.367886
26.43,87.54,29.654585
26.43,87.55,28.812447
26.43,87.56,29.077177
26.43,87.57000000000001,26.130318
26.43,87.58,25.086546
26.43,87.59,24.592651
26.43,87.60000000000001,19.048903
26.43,87.61,18.290636
26.43,87.62,17.345037
26.43,87.63,19.552513
26.43,87.64,19.635086
26.43,87.65,18.160326
26.43,87.66,22.325771
26.43,87.67,22.129278
26.43,87.68,21.948242
26.43,87.69,18.074852
